seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
7,24,4,100,50,0.0,0.0,0.0,0.594587003588,0.0,-0.010899269106399198,0.010899269106399267
7,24,4,100,150,0.0,0.0,0.0,0.124276789349,0.0,-0.13492396043426053,0.13492396043426047
7,24,4,100,300,0.0,0.0,0.0,0.124276789349,0.0,-0.13492396043426053,0.13492396043426047
7,24,4,300,50,0.6439393939393939,0.6515151515151515,0.007575757576,1.000648658487,0.0,-0.001905055048549209,0.001905055048549209
7,24,4,300,150,0.0,0.0,0.0,0.212020030633,0.0,-0.13780899661786816,0.13780899661786816
7,24,4,300,300,0.0,0.0,0.0,0.923761256679,0.0,-0.0026414474248953324,0.00264144742489536
7,24,4,500,50,1.0,1.0,0.0,1.0,0.0,0.0,0.0
7,24,4,500,150,0.0125,0.0125,0.0,0.945113409788,0.0,-0.009837368264860896,0.009837368264860924
7,24,4,500,300,0.0,0.0,0.0,0.940063743747,0.0,-0.0024942915794972653,0.00249429157949721
7,24,10,100,50,0.0,0.0,0.0,0.947188900136,0.0,-0.0008160403231421975,0.0008160403231421975
7,24,10,100,150,0.0,0.0,0.0,0.945640807441,0.0,-0.0007048731533728265,0.0007048731533728647
7,24,10,100,300,0.0,0.0,0.0,0.945640807441,0.0,-0.0007048731533728265,0.0007048731533728647
7,24,10,300,50,0.0,0.0,0.0,0.399231553134,0.0,-0.03456861723084001,0.03456861723084004
7,24,10,300,150,0.0,0.0,0.0,0.951322287273,0.0,-0.0012217026264465247,0.001221702626446608
7,24,10,300,300,0.0,0.0,0.0,0.957280617799,0.0,-0.0007543111359081464,0.0007543111359081811
7,24,10,500,50,0.04,0.04,0.0,0.431379124964,0.0,-0.06102768891989549,0.06102768891989552
7,24,10,500,150,0.0,0.0,0.0,0.933092230653,0.0,-0.002170802491916965,0.0021708024919169233
7,24,10,500,300,0.0,0.0,0.0,0.932373354901,0.0,-0.00199117946731045,0.001991179467310422
7,24,16,100,50,0.0,0.0,0.0,0.813703730327,0.0,-0.0028632478632478614,0.0028632478632478753
7,24,16,100,150,0.0,0.0,0.0,0.183586068422,0.0,-0.014642857142857141,0.01464285714285718
7,24,16,100,300,0.0,0.0,0.0,0.152483121322,0.0,-0.015142857142857142,0.015142857142857125
7,24,16,300,50,0.0018796992481203006,0.0018796992481203006,0.0,0.943060408999,0.0,-0.0013260073260073224,0.0013260073260072947
7,24,16,300,150,0.0,0.0,0.0,0.88973300825,0.0,-0.0023070818070818067,0.0023070818070817234
7,24,16,300,300,0.0,0.0,0.0,0.473960108641,0.0,-0.014273504273504274,0.014273504273504267
7,24,16,500,50,0.0125,0.009375,-0.003125,0.889241877847,0.0,-0.004119068608638823,0.004119068608638865
7,24,16,500,150,0.0,0.0,0.0,0.932421014164,0.0,-0.0027121237571987172,0.002712123757198648
7,24,16,500,300,0.0,0.0,0.0,0.847842839973,0.0,-0.0062402142234461375,0.006240214223446117
8,24,4,100,50,0.0025,0.0025,0.0,0.117122230352,0.0,-0.1689096459096459,0.16890964590964597
8,24,4,100,150,0.0,0.0,0.0,0.132815927618,0.0,-0.13207264957264958,0.13207264957264964
8,24,4,100,300,0.0,0.0,0.0,0.87512089345,0.0,-0.002910256410256412,0.00291025641025644
8,24,4,300,50,0.25925925925925924,0.28888888888888886,0.02962962963,0.989685583153,0.0,-0.004347985347985306,0.004347985347985417
8,24,4,300,150,0.007407407407407408,0.007407407407407408,0.0,0.916499952077,0.0,-0.002388888888888885,0.002388888888888885
8,24,4,300,300,0.0,0.0,0.0,0.897638847665,0.0,-0.003396825396825391,0.003396825396825398
8,24,4,500,50,0.575,0.625,0.05,1.000119172958,0.0,-6.658773881484947e-05,6.658773881479396e-05
8,24,4,500,150,0.0,0.0,0.0,0.207732444249,0.0,-0.20655174203317084,0.20655174203317084
8,24,4,500,300,0.0,0.0,0.0,0.929926050042,0.0,-0.003913583676509638,0.003913583676509735
8,24,10,100,50,0.001,0.001,0.0,0.928416190744,0.0,-0.0012484737484737482,0.0012484737484736996
8,24,10,100,150,0.0,0.0,0.0,0.26681076015,0.0,-0.04945604395604396,0.04945604395604397
8,24,10,100,300,0.0,0.0,0.0,0.265555884283,0.0,-0.04914224664224664,0.049142246642246645
8,24,10,300,50,0.0029940119760479044,0.0029940119760479044,0.0,0.928556661237,0.0,-0.001964590964590965,0.0019645909645910065
8,24,10,300,150,0.0029940119760479044,0.0029940119760479044,0.0,0.832629692738,0.0,-0.005478632478632478,0.005478632478632561
8,24,10,300,300,0.0,0.0,0.0,0.936569411675,0.0,-0.0014945054945054992,0.0014945054945054714
8,24,10,500,50,0.01,0.01,0.0,0.923474180926,0.0,-0.003705388351441033,0.0037053883514409636
8,24,10,500,150,0.0,0.0,0.0,0.847355486369,0.0,-0.009721683756796114,0.009721683756796162
8,24,10,500,300,0.0,0.0,0.0,0.273976460816,0.0,-0.10330700873382442,0.10330700873382437
8,24,16,100,50,0.0,0.0,0.0,0.224089923858,0.0,-0.015637973137973136,0.015637973137973105
8,24,16,100,150,0.0,0.0,0.0,0.215536138139,0.0,-0.015644688644688643,0.01564468864468871
8,24,16,100,300,0.0,0.0,0.0,0.213643563701,0.0,-0.015661782661782662,0.01566178266178264
8,24,16,300,50,0.001869158878504673,0.001869158878504673,0.0,0.976256906386,0.0,-2.5641025641023885e-05,2.5641025641065518e-05
8,24,16,300,150,0.0,0.0,0.0,0.923372961762,0.0,-0.00173809523809524,0.0017380952380953163
8,24,16,300,300,0.0,0.0,0.0,0.917262625516,0.0,-0.0017411477411477423,0.0017411477411477527
8,24,16,500,50,0.00625,0.00625,0.0,0.962163290931,0.0,-0.001930402930402926,0.001930402930402919
8,24,16,500,150,0.0,0.0,0.0,0.957759783613,0.0,-0.0017899877899877903,0.0017899877899877348
8,24,16,500,300,0.0,0.0,0.0,0.937965796527,0.0,-0.002609279609279612,0.002609279609279591
9,24,4,100,50,0.0025,0.0025,0.0,0.640736207456,0.0,-0.009031135531135534,0.009031135531135548
9,24,4,100,150,0.0,0.0,0.0,0.793118812339,0.0,-0.0048217338217338215,0.004821733821733787
9,24,4,100,300,0.0,0.0,0.0,0.887993933159,0.0,-0.0021623931623931635,0.0021623931623930837
9,24,4,300,50,0.022388059701492536,0.17164179104477612,0.149253731343,1.022245729946,0.0,-0.011071428571428565,0.01107142857142851
9,24,4,300,150,0.007462686567164179,0.007462686567164179,0.0,0.321056840729,0.0,-0.048557997557997556,0.0485579975579975
9,24,4,300,300,0.0,0.0,0.0,0.857015300251,0.0,-0.0041373626373626335,0.00413736263736264
9,24,4,500,50,0.3875,0.4,0.0125,0.998734565361,0.0,-0.000505126792328725,0.0005051267923286695
9,24,4,500,150,0.0,0.0,0.0,0.266628014382,0.0,-0.11308174431411305,0.113081744314113
9,24,4,500,300,0.0,0.0,0.0,0.203675390431,0.0,-0.14925885179665527,0.14925885179665532
9,24,10,100,50,0.001,0.001,0.0,0.855888861806,0.0,-0.0022075702075702065,0.002207570207570231
9,24,10,100,150,0.0,0.0,0.0,0.885931720519,0.0,-0.001421855921855921,0.0014218559218559523
9,24,10,100,300,0.0,0.0,0.0,0.98672328399,0.0,0.00016239316239316515,-0.00016239316239308188
9,24,10,300,50,0.003003003003003003,0.003003003003003003,0.0,0.914489250948,0.0,-0.002440781440781442,0.0024407814407814143
9,24,10,300,150,0.0,0.0,0.0,0.441973829071,0.0,-0.029133089133089138,0.029133089133089096
9,24,10,300,300,0.0,0.0,0.0,0.87367028053,0.0,-0.004192918192918192,0.004192918192918227
9,24,10,500,50,0.0,0.0,0.0,0.88839348773,0.0,-0.00447208172074022,0.004472081720740206
9,24,10,500,150,0.0,0.0,0.0,0.973504149544,0.0,-0.0006262991889272734,0.0006262991889273151
9,24,10,500,300,0.0,0.0,0.0,0.968473797925,0.0,-0.0009281448468102735,0.0009281448468103637
9,24,16,100,50,0.0,0.0,0.0,0.914088838939,0.0,-0.0011422466422466443,0.0011422466422467137
9,24,16,100,150,0.0,0.0,0.0,0.184324484878,0.0,-0.014775946275946278,0.014775946275946361
9,24,16,100,300,0.0,0.0,0.0,0.184324484878,0.0,-0.014775946275946278,0.014775946275946361
9,24,16,300,50,0.003745318352059925,0.003745318352059925,0.0,0.915717012616,0.0,-0.002189865689865688,0.0021898656898656776
9,24,16,300,150,0.0,0.0,0.0,0.946920929169,0.0,-0.0005372405372405381,0.0005372405372405797
9,24,16,300,300,0.0,0.0,0.0,0.927388061924,0.0,-0.002007936507936507,0.002007936507936514
9,24,16,500,50,0.0,0.0,0.0,0.956185469282,0.0,-0.0017554707997932337,0.0017554707997932129
9,24,16,500,150,0.0,0.0,0.0,0.948612297852,0.0,-0.002071370000452155,0.0020713700004520996
9,24,16,500,300,0.0,0.0,0.0,0.9225250363,0.0,-0.0027465510772957114,0.0027465510772956003
10,24,4,100,50,0.0025,0.0025,0.0,0.312621266057,0.0,-0.047004884004884,0.04700488400488401
10,24,4,100,150,0.0,0.0,0.0,0.877184571617,0.0,-0.0019023199023199024,0.0019023199023199266
10,24,4,100,300,0.0,0.0,0.0,0.112035146435,0.0,-0.13296520146520147,0.1329652014652014
10,24,4,300,50,0.3609022556390977,0.38345864661654133,0.022556390977,0.995726461698,4.2124542124599706e-05,-0.0034327312457994585,0.0034327312457994585
10,24,4,300,150,0.007518796992481203,0.007518796992481203,0.0,0.725356035349,0.0,-0.012246642246642243,0.012246642246642181
10,24,4,300,300,0.0,0.0,0.0,0.308727731235,0.0,-0.05156043956043956,0.05156043956043954
10,24,4,500,50,0.875,0.8375,-0.0375,0.999583582771,0.0,-0.0016316474810028625,0.001631647481002807
10,24,4,500,150,0.0125,0.0125,0.0,0.511239009995,0.0,-0.06359634911998631,0.06359634911998635
10,24,4,500,300,0.0,0.0,0.0,0.231104365931,0.0,-0.12882862505119913,0.12882862505119907
10,24,10,100,50,0.001,0.001,0.0,0.98222828228,0.0,-0.00027777777777777957,0.0002777777777778212
10,24,10,100,150,0.0,0.0,0.0,0.968322015335,0.0,-0.0005415140415140421,0.0005415140415140351
10,24,10,100,300,0.0,0.0,0.0,0.968322015335,0.0,-0.0005415140415140421,0.0005415140415140351
10,24,10,300,50,0.003003003003003003,0.003003003003003003,0.0,0.961192969893,0.0,-0.0013064713064713032,0.001306471306471324
10,24,10,300,150,0.003003003003003003,0.003003003003003003,0.0,0.928550560386,0.0,-0.0020189255189255184,0.002018925518925574
10,24,10,300,300,0.0,0.0,0.0,0.90977297264,0.0,-0.00256532356532356,0.002565323565323463
10,24,10,500,50,0.005,0.0,-0.005,0.897012975718,0.0,-0.003971455355479762,0.003971455355479714
10,24,10,500,150,0.0,0.0,0.0,0.93382558871,0.0,-0.0018382409072726577,0.0018382409072725814
10,24,10,500,300,0.0,0.0,0.0,0.943264179288,0.0,-0.0015127318030944761,0.0015127318030945247
10,24,16,100,50,0.0,0.0,0.0,0.768857669651,0.0,-0.0035769230769230782,0.003576923076923033
10,24,16,100,150,0.0,0.0,0.0,0.212737181464,0.0,-0.015555555555555555,0.015555555555555656
10,24,16,100,300,0.0,0.0,0.0,0.222797767709,0.0,-0.015349206349206349,0.015349206349206446
10,24,16,300,50,0.0018796992481203006,0.0018796992481203006,0.0,0.970655026153,0.0,-0.0003382173382173448,0.00033821733821737254
10,24,16,300,150,0.0,0.0,0.0,0.920870137181,0.0,-0.001899267399267393,0.0018992673992673792
10,24,16,300,300,0.0,0.0,0.0,0.912442433251,0.0,-0.002255799755799752,0.0022557997557998144
10,24,16,500,50,0.00625,0.003125,-0.003125,0.912409880873,0.0,-0.0032764659360524223,0.003276465936052353
10,24,16,500,150,0.0,0.0,0.0,0.96304831224,0.0,-0.0011194337485152042,0.0011194337485151973
10,24,16,500,300,0.0,0.0,0.0,0.887827085417,0.0,-0.005176999392342292,0.005176999392342285
11,24,4,100,50,0.0,0.0,0.0,0.146630381846,0.0,-0.13245726495726495,0.13245726495726495
11,24,4,100,150,0.0,0.0,0.0,0.148818654076,0.0,-0.13061416361416361,0.13061416361416356
11,24,4,100,300,0.0,0.0,0.0,0.148665803442,0.0,-0.13026984126984126,0.1302698412698413
11,24,4,300,50,0.0,0.0,0.0,0.861290646723,0.0,-0.008301247967926861,0.008301247967926861
11,24,4,300,150,0.0,0.0,0.0,0.94111691063,0.0,-0.002176915649102218,0.0021769156491021624
11,24,4,300,300,0.0,0.0,0.0,0.934766128525,0.0,-0.0029206849767151946,0.00292068497671516
11,24,4,500,50,0.0125,0.025,0.0125,0.991197117556,0.0,-0.004649788885029205,0.004649788885029205
11,24,4,500,150,0.0,0.0,0.0,0.816445229619,0.0,-0.009632885009613928,0.009632885009614012
11,24,4,500,300,0.0,0.0,0.0,0.903512482016,0.0,-0.004947624895421027,0.00494762489542111
11,24,10,100,50,0.0,0.0,0.0,0.246672402006,0.0,-0.05181318681318682,0.05181318681318681
11,24,10,100,150,0.0,0.0,0.0,0.254565845539,0.0,-0.05008363858363858,0.05008363858363851
11,24,10,100,300,0.0,0.0,0.0,0.25229807796,0.0,-0.050191086691086684,0.05019108669108663
11,24,10,300,50,0.0,0.0,0.0,0.499195253888,0.0,-0.025082501800289154,0.025082501800289148
11,24,10,300,150,0.0,0.0,0.0,0.989166164675,0.0,-8.062363604047218e-05,8.062363604044442e-05
11,24,10,300,300,0.0,0.0,0.0,0.981309006674,0.0,-0.00015452863574424297,0.00015452863574416664
11,24,10,500,50,0.0,0.0,0.0,0.581022602201,0.0,-0.026409737869349394,0.026409737869349414
11,24,10,500,150,0.0,0.0,0.0,0.876522161128,0.0,-0.0049009398150664865,0.004900939815066563
11,24,10,500,300,0.0,0.0,0.0,0.880970564906,0.0,-0.004539355023127384,0.004539355023127412
11,24,16,100,50,0.0,0.0,0.0,0.206619272936,0.0,-0.016713675213675214,0.016713675213675172
11,24,16,100,150,0.0,0.0,0.0,0.207404709171,0.0,-0.016594017094017095,0.01659401709401709
11,24,16,100,300,0.0,0.0,0.0,0.207404709171,0.0,-0.016594017094017095,0.01659401709401709
11,24,16,300,50,0.0,0.0,0.0,0.94449476159,0.0,-0.0008954109881464944,0.0008954109881464944
11,24,16,300,150,0.0,0.0,0.0,0.911528739087,0.0,-0.002601333832548375,0.002601333832548347
11,24,16,300,300,0.0,0.0,0.0,0.511960560552,0.0,-0.016229782248996325,0.016229782248996405
11,24,16,500,50,0.0,0.0,0.0,0.976689669329,0.0,-0.0005674193778909195,0.0005674193778908432
11,24,16,500,150,0.0,0.0,0.0,0.952086185938,0.0,-0.001900152513044845,0.0019001525130448726
11,24,16,500,300,0.0,0.0,0.0,0.641334201031,0.0,-0.016416682496181063,0.016416682496181
12,24,4,100,50,0.0025,0.0025,0.0,0.846908765134,0.0,-0.0034932844932844924,0.0034932844932845653
12,24,4,100,150,0.0,0.0,0.0,0.108206893894,0.0,-0.13358608058608057,0.13358608058608057
12,24,4,100,300,0.0,0.0,0.0,0.107899443977,0.0,-0.133503663003663,0.133503663003663
12,24,4,300,50,0.35074626865671643,0.44029850746268656,0.089552238806,1.00253654085,0.0,-0.0002191697191696873,0.0002191697191696873
12,24,4,300,150,0.007462686567164179,0.007462686567164179,0.0,0.41264783189,0.0,-0.04116544566544566,0.041165445665445666
12,24,4,300,300,0.0,0.0,0.0,0.505920942371,0.0,-0.02077106227106227,0.02077106227106229
12,24,4,500,50,0.775,0.8,0.025,0.999842825639,3.6630036629459184e-06,0.0028826146012050913,-0.0028826146012050358
12,24,4,500,150,0.025,0.025,0.0,0.772670551501,0.0,-0.013899058840916564,0.013899058840916578
12,24,4,500,300,0.0,0.0,0.0,0.81916367457,0.0,-0.008626833568556952,0.00862683356855698
12,24,10,100,50,0.0,0.0,0.0,0.888398220217,0.0,-0.0018772893772893776,0.0018772893772893706
12,24,10,100,150,0.0,0.0,0.0,0.898292476157,0.0,-0.0019273504273504272,0.0019273504273504827
12,24,10,100,300,0.0,0.0,0.0,0.899739723643,0.0,-0.0018131868131868144,0.0018131868131868734
12,24,10,300,50,0.006006006006006006,0.006006006006006006,0.0,0.267430785643,0.0,-0.06808547008547008,0.06808547008547006
12,24,10,300,150,0.003003003003003003,0.003003003003003003,0.0,0.941390266853,0.0,-0.0010244200244200197,0.0010244200244200474
12,24,10,300,300,0.0,0.0,0.0,0.270178612336,0.0,-0.052834554334554334,0.05283455433455431
12,24,10,500,50,0.02,0.02,0.0,0.740456861633,0.0,-0.012148164614592581,0.01214816461459256
12,24,10,500,150,0.0,0.0,0.0,0.82242396713,0.0,-0.005730865510925831,0.005730865510925831
12,24,10,500,300,0.0,0.0,0.0,0.853329696225,0.0,-0.004678618998210017,0.004678618998210093
12,24,16,100,50,0.0,0.0,0.0,0.868551298389,0.0,-0.001876678876678875,0.0018766788766788611
12,24,16,100,150,0.0,0.0,0.0,0.226244000576,0.0,-0.015001831501831502,0.015001831501831542
12,24,16,100,300,0.0,0.0,0.0,0.226244000576,0.0,-0.015001831501831502,0.015001831501831542
12,24,16,300,50,0.0018796992481203006,0.0018796992481203006,0.0,0.932913984306,0.0,-0.0014236874236874253,0.0014236874236874808
12,24,16,300,150,0.0,0.0,0.0,0.900174996636,0.0,-0.002204517704517704,0.0022045177045176834
12,24,16,300,300,0.0,0.0,0.0,0.484914175387,0.0,-0.014621489621489622,0.01462148962148957
12,24,16,500,50,0.009375,0.00625,-0.003125,0.908053347059,0.0,-0.0032043746095298253,0.0032043746095298253
12,24,16,500,150,0.0,0.0,0.0,0.891753472998,0.0,-0.004335402201839568,0.004335402201839589
12,24,16,500,300,0.0,0.0,0.0,0.917939277305,0.0,-0.0031848320161421834,0.0031848320161421695
13,24,4,100,50,0.0,0.0,0.0,0.933299622154,0.0,-0.0015686365501475195,0.0015686365501474953
13,24,4,100,150,0.0,0.0,0.0,0.942865931191,0.0,-0.0018342484222044209,0.0018342484222044764
13,24,4,100,300,0.0,0.0,0.0,0.945606434381,0.0,-0.0018256999941382197,0.0018256999941382857
13,24,4,300,50,0.0,0.0,0.0,0.298830998383,0.0,-0.09846797960567798,0.09846797960567788
13,24,4,300,150,0.0,0.0,0.0,0.942905858031,0.0,-0.0014977118461117905,0.0014977118461118044
13,24,4,300,300,0.0,0.0,0.0,0.963404164535,0.0,-0.0011252714564498542,0.0011252714564499167
13,24,4,500,50,0.0625,0.1125,0.05,0.99468509968,0.0,-0.0009118368160688783,0.0009118368160688783
13,24,4,500,150,0.0,0.0,0.0,0.87115263204,0.0,-0.0065100623119069,0.006510062311906983
13,24,4,500,300,0.0,0.0,0.0,0.889413823926,0.0,-0.004993392087996221,0.004993392087996207
13,24,10,100,50,0.0,0.0,0.0,0.960019852569,0.0,-0.0006776556776556773,0.000677655677655653
13,24,10,100,150,0.0,0.0,0.0,0.961768676727,0.0,-0.0005659340659340643,0.0005659340659340817
13,24,10,100,300,0.0,0.0,0.0,0.961768676727,0.0,-0.0005659340659340643,0.0005659340659340817
13,24,10,300,50,0.0,0.0,0.0,0.876753658267,0.0,-0.0035152625152625183,0.003515262515262463
13,24,10,300,150,0.0,0.0,0.0,0.938323960707,0.0,-0.0016721611721611726,0.0016721611721611795
13,24,10,300,300,0.0,0.0,0.0,0.939463371067,0.0,-0.0013962148962149007,0.0013962148962148868
13,24,10,500,50,0.005,0.005,0.0,0.588120784097,0.0,-0.02179055374274605,0.021790553742746077
13,24,10,500,150,0.0,0.0,0.0,0.933004406231,0.0,-0.0021774067488618404,0.0021774067488617987
13,24,10,500,300,0.0,0.0,0.0,0.931412688316,0.0,-0.0020949754782234875,0.0020949754782234598
13,24,16,100,50,0.0,0.0,0.0,0.226245963011,0.0,-0.015161782661782662,0.015161782661782586
13,24,16,100,150,0.0,0.0,0.0,0.219043415098,0.0,-0.015278998778998779,0.015278998778998742
13,24,16,100,300,0.0,0.0,0.0,0.228684472258,0.0,-0.01517948717948718,0.015179487179487139
13,24,16,300,50,0.0,0.0,0.0,0.969815377665,0.0,-0.00050976800976801,0.0005097680097680968
13,24,16,300,150,0.0,0.0,0.0,0.824757540112,0.0,-0.00451953601953602,0.00451953601953603
13,24,16,300,300,0.0,0.0,0.0,0.49090321172,0.0,-0.014688644688644687,0.014688644688644725
13,24,16,500,50,0.00625,0.00625,0.0,0.918534645581,0.0,-0.002363029758299301,0.0023630297582993842
13,24,16,500,150,0.0,0.0,0.0,0.924831989507,0.0,-0.0017744094257410303,0.0017744094257409193
13,24,16,500,300,0.0,0.0,0.0,0.609632112449,0.0,-0.015410373395337934,0.015410373395337906
14,24,4,100,50,0.0025,0.0025,0.0,0.901027405302,0.0,-0.0020347985347985327,0.0020347985347985986
14,24,4,100,150,0.0,0.0,0.0,0.110824621936,0.0,-0.14187728937728938,0.14187728937728938
14,24,4,100,300,0.0,0.0,0.0,0.132287107307,0.0,-0.13365445665445666,0.13365445665445663
14,24,4,300,50,0.014925373134328358,0.022388059701492536,0.007462686567,1.001478837379,0.0,-0.001381562881562881,0.001381562881562881
14,24,4,300,150,0.007462686567164179,0.007462686567164179,0.0,0.894982324521,0.0,-0.002854090354090351,0.002854090354090344
14,24,4,300,300,0.0,0.0,0.0,0.883218959762,0.0,-0.0036196581196581215,0.0036196581196580313
14,24,4,500,50,0.2625,0.275,0.0125,1.003735695023,0.0,0.0030150643109730924,-0.0030150643109730924
14,24,4,500,150,0.0,0.0,0.0,0.240643585881,0.0,-0.12600693299632798,0.12600693299632792
14,24,4,500,300,0.0,0.0,0.0,0.237909066654,0.0,-0.12679847148656925,0.1267984714865692
14,24,10,100,50,0.0,0.0,0.0,0.950352522197,0.0,-0.000554334554334554,0.0005543345543345124
14,24,10,100,150,0.0,0.0,0.0,0.957040329421,0.0,-0.00041086691086691246,0.00041086691086689164
